year,scpdsi_global_mean,scpdsi_global_median,scpdsi_global_max,scpdsi_global_var
1901,-0.13458391458994898,-0.1670343779532583,0.11858382095137805,0.013286519236233722
1902,-0.2963555103053887,-0.30020119113362387,-0.19303944257944256,0.001883851290024981
1903,-0.18697340840879587,-0.18322346527117261,-0.1167525966672542,0.001169156806607846
1904,-0.28263773206137993,-0.2950444609965074,-0.19482843261393132,0.0032504995313630655
1905,-0.18622239885522962,-0.16456468879253044,-0.028685076557533336,0.01694005818598352
1906,-0.09512741596601156,-0.08614493029786532,-0.01368487948027074,0.003254667785122589
1907,-0.17614247810932324,-0.16907111143252967,-0.12664832896591077,0.001289066926091584
1908,-0.21407893538338243,-0.20340392874881447,-0.1364701520111285,0.0032181077639558187
1909,-0.16352151921650077,-0.15136101153703582,-0.045506978712052185,0.00635807545546304
1910,-0.24184367563904818,-0.24570523792210083,-0.1411566512335828,0.002084299610047511
1911,-0.310478446746914,-0.3030582620210017,-0.2596510842147873,0.0011503243088633373
1912,-0.17097217631729456,-0.1812948690136063,-0.06264061120505034,0.002551058329538468
1913,-0.21854257143693914,-0.2293810311748214,-0.1513208151249281,0.0015814610359122336
1914,-0.24015149466937846,-0.24565886788030888,-0.14691744577166085,0.002250445482996156
1915,-0.24877701422277632,-0.2407072988724953,-0.15702254123455828,0.003205292088507506
1916,-0.015478907557939068,0.04794069660973621,0.09657199363002489,0.011630138818163794
1917,-0.05053770705051704,-0.05055458228871003,0.06038612104459368,0.0044337512691940825
1918,-0.28027814512116245,-0.254490137503127,-0.13587437424868998,0.01634975962148363
1919,-0.4014846485993142,-0.3710375080529642,-0.29893345703052054,0.005704933201196169
1920,-0.20619701223062825,-0.1879418091286394,-0.13733752809335772,0.0027675340064660294
1921,-0.21437194553552333,-0.2091173791410571,-0.16597000682977275,0.0010971210447110302
1922,-0.12788796210772804,-0.13990852274929838,0.01081990873629497,0.007649789983150058
1923,-0.08725944342935181,-0.055811189021931044,0.039121667471271666,0.010758355248440515
1924,-0.14674136345394784,-0.15591433111696623,-0.06034047994197174,0.0024995129479148284
1925,-0.21357281235941614,-0.2045008717678729,-0.1298823773886308,0.0024755928137794266
1926,-0.28734978323839405,-0.311793019629146,-0.19989076946974646,0.003377088884754084
1927,-0.29504504428070294,-0.296626393020462,-0.1761768285889485,0.003931947113660383
1928,-0.25682308719273134,-0.2477632878380316,-0.18849201474456562,0.0029655442240536112
1929,-0.28586407989565904,-0.27489810387472546,-0.21791121450597709,0.003945306807980974
1930,-0.3562190230825226,-0.356635509810617,-0.31552371767742715,0.0004584560509554743
1931,-0.4289961670812336,-0.4304348900667785,-0.35766345076830824,0.0017159294467866966
1932,-0.34556201613755677,-0.34053302442999894,-0.28355723958944007,0.001767865896648795
1933,-0.4238942852184724,-0.4302475649143114,-0.3585707823015481,0.0015784387788764242
1934,-0.5105963841634796,-0.5060537969042367,-0.45702020895927364,0.001199173848477485
1935,-0.4255765028222791,-0.417207632286897,-0.3561179492297649,0.002050487895165975
1936,-0.4964367108177425,-0.4894310281355444,-0.43779076704054204,0.0017634720158644637
1937,-0.5182208322540248,-0.5153399555043999,-0.4193319285597926,0.005152020695422886
1938,-0.5964885936069438,-0.5982523637549909,-0.47017802412184945,0.0032733123733347537
1939,-0.3849781860226158,-0.41116473724048186,-0.2316225447823296,0.010950076673084105
1940,-0.5192307229982519,-0.5203887620832305,-0.43773417242829543,0.0023239803660433703
1941,-0.4801368652051712,-0.4854220044491533,-0.3880547607555905,0.00357460689060355
1942,-0.4255433204410115,-0.4040050592245594,-0.31101114654522743,0.006413580305817416
1943,-0.34002348903985463,-0.36534595605084463,-0.15094291170296262,0.008930254127142727
1944,-0.44261223199678185,-0.4584962251983711,-0.33135913011314794,0.002672859957481294
1945,-0.2788129112683347,-0.2770681673903831,-0.09937905292819596,0.014287742596457513
1946,-0.2408293393656665,-0.26076798494698167,-0.049217800233122146,0.01375624494362813
1947,-0.15288259095194168,-0.15437146272704333,-0.07492422797024614,0.0030300228055039177
1948,-0.22667501722139724,-0.2137390695598657,-0.07935806835268368,0.010370383728146746
1949,-0.24161226413713852,-0.22639911901608983,-0.13015252476547332,0.005837965116049491
1950,0.002589605255736991,-0.019334522858629296,0.2045745326262648,0.01953141748832227
1951,-0.16172989765398493,-0.18163536332682506,0.047529151812543656,0.010057696743189253
1952,-0.1664670152197651,-0.16030674699801023,-0.10580775610474867,0.0020586334796065683
1953,-0.19497945910851447,-0.19284568524472018,-0.12711002002967997,0.0027950018560976447
1954,-0.022304178427372593,-0.022294263472623983,0.10541528624661972,0.0055926528854006044
1955,0.12035902187415776,0.11239090271579175,0.2765178021529377,0.008438103608791705
1956,0.2919673313872027,0.2970228487664399,0.363328193502496,0.0016289708717770752
1957,0.14445740526578268,0.12783192146806735,0.39433929209804763,0.016098543073470275
1958,-0.05956161662066925,-0.07465046062884809,0.12818453320228632,0.005656416012273861
1959,0.014737824417756304,-0.02341846076080743,0.1422742182811839,0.008579952634865192
1960,0.08305429255076828,0.08630461579901402,0.1935190020803696,0.0034104072391507394
1961,0.1145088251465322,0.10151266178742585,0.2987949966784185,0.01943952673696311
1962,0.20527557676046768,0.19720703226565806,0.28986840055364715,0.0033262648001771817
1963,0.2854001739195202,0.2850450267296205,0.4995579789401356,0.014608894811347752
1964,0.1990500246572384,0.20064820204371886,0.3159740368056915,0.004226810085625968
1965,0.08134317512385413,0.09414852460530264,0.27379410088736733,0.015641127489257844
1966,0.21083434068175053,0.22760679675051462,0.2990369751520697,0.00324177954399016
